Expectation,Column,Success
expect_column_values_to_be_of_type,seller_id,True
expect_column_values_to_be_unique,seller_id,True
expect_column_values_to_not_be_null,seller_id,True
expect_column_values_to_be_of_type,seller_zip_code_prefix,False
expect_column_values_to_not_be_null,seller_zip_code_prefix,True
expect_column_values_to_be_of_type,seller_city,True
expect_column_values_to_not_be_null,seller_city,True
expect_column_values_to_be_of_type,seller_state,True
expect_column_values_to_not_be_null,seller_state,True
